hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
25.0,60.0,1,4.0,0.9,0.5,0.05,0.95,40,575.9999752044678,4754.199934005736,552.0000457763672,4368.99995803833,21
8.0,90.0,3,0.5,0.5,0.5,1.0,0.0,40,199.99992847442627,5486.149930953979,95.99995613098145,4968.999981880188,31
25.0,80.0,7,0.5,0.3,0.575,1.0,0.15,40,84.0001106262207,1161.7998838424676,440.000057220459,4718.799924850453,37
3.0,30.0,10,0.5,0.9,0.525,1.0,0.05,40,80.00016212463379,4247.000098228455,76.00009441375732,5065.799975395199,30
3.0,60.0,10,2.5,0.0,0.675,0.75,0.6,40,466.0000801086426,2739.600014686583,1450.5000114440918,4010.1999998092647,34
3.0,90.0,7,0.5,0.7,0.575,0.95,0.2,40,184.00001525878906,4310.700011253358,184.00001525878906,4158.000135421748,37
12.0,90.0,3,1.0,0.5,0.775,0.6,0.95,40,296.00000381469727,1580.4001450538633,548.0000972747803,2719.000053405766,39
8.0,60.0,7,2.5,0.3,0.7,1.0,0.4,40,1026.0000228881836,3860.7998371124204,452.0001411437988,3032.5000286102295,31
25.0,60.0,5,0.5,0.5,0.65,0.95,0.35,40,113.99996280670166,1231.7500948905945,444.5000886917114,3206.400120258325,40
16.0,30.0,3,0.5,0.3,0.5,1.0,0.0,40,184.00001525878906,863.3501052856442,304.00002002716064,3191.200041770934,40
12.0,60.0,1,0.5,0.0,0.5,0.0,1.0,40,148.00000190734863,2348.80018234253,93.99998188018799,4179.999947547913,26
16.0,60.0,3,2.5,0.9,0.675,0.8,0.55,40,1598.4998941421509,5809.150004386901,1599.9999046325684,5110.59989929199,33
25.0,60.0,10,1.0,0.3,0.675,0.95,0.4,40,182.0000410079956,1365.8499956130975,568.000078201294,4229.99997138977,38
8.0,80.0,1,4.0,0.3,0.675,0.95,0.4,40,716.0000801086426,4471.000003814695,636.0001564025879,3931.4000129699702,29
3.0,45.0,3,1.5,0.0,0.75,1.0,0.5,40,347.9999303817749,1858.8001608848567,971.9998836517334,2128.8001060485826,37
16.0,45.0,3,4.0,0.5,0.775,0.9,0.65,40,716.0000801086426,4382.999968528748,1377.9999017715454,4124.200057983397,34
3.0,90.0,5,1.5,0.3,0.675,1.0,0.35,40,287.99986839294434,2700.999951362611,990.4999732971191,3019.7500586509705,36
16.0,60.0,10,1.5,0.5,0.875,1.0,0.75,40,226.0000705718994,3300.800132751464,275.99990367889404,2970.649993419647,38
3.0,90.0,7,4.0,0.0,0.675,1.0,0.35,40,720.9999561309814,4563.600063323974,646.5001106262207,4159.000062942503,28
3.0,30.0,3,2.5,0.0,0.7,1.0,0.4,40,452.0001411437988,3379.9001455307034,480.0000190734863,3000.0,31
8.0,60.0,5,1.5,0.9,0.575,1.0,0.15,40,202.00002193450928,6132.950031757354,187.99996376037598,5494.200134277341,29
16.0,45.0,3,4.0,0.3,0.75,0.85,0.65,40,796.0000038146973,4382.999968528748,884.0000629425049,3859.0000629425026,34
16.0,45.0,1,0.5,0.9,0.5,0.0,1.0,40,57.99996852874756,92.20000505447389,57.99996852874756,92.20000505447389,20
16.0,60.0,1,1.0,0.9,0.5,0.0,1.0,40,88.00005912780762,184.60001945495608,88.00005912780762,184.60001945495608,20
3.0,30.0,7,1.5,0.5,0.675,1.0,0.35,40,261.99984550476074,6154.200053215027,287.99986839294434,4652.899932861326,35
12.0,30.0,5,2.5,0.7,0.825,0.85,0.8,40,481.9999933242798,3173.0001330375667,621.0000514984131,3581.7999362945548,37
12.0,45.0,5,4.0,0.9,0.6,0.65,0.55,40,2326.0000944137573,6058.000028133392,2484.0002059936523,5151.400041580198,29
12.0,90.0,3,4.0,0.0,0.825,0.75,0.9,40,812.5,2978.6499381065364,1252.000093460083,3352.999925613403,33
